DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche - Bivedo|B200580002|1643|12:56:00|13:25:00|CAVRASTO|1|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche - Bivedo|B200580002|1643|12:56:00|13:25:00|PONTE ARCHE/Comano Terme|7|1|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche - Bivedo|B200600003|1058|18:40:00|19:09:00|PONTE ARCHE/Comano Terme|8|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche-S.Croce|B202100102|1860|13:48:00|14:02:00|PONTE ARCHE/Comano Terme|3|0|0|0|0|0|0
07-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Borgo|B500550407|1694|16:10:00|17:20:00|FIERA DI PRIMIERO|0|7|0|0|0|0|0
07-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Borgo|B500550407|1694|16:10:00|17:20:00|IMER|0|0|0|0|0|1|0
07-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Borgo|B500550407|1694|16:10:00|17:20:00|Mezzano|2|0|0|0|0|0|0
07-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Borgo|B500550407|1694|16:10:00|17:20:00|Ponte Mirabello|1|0|0|1|0|0|0
07-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Borgo|B500550407|1694|16:10:00|17:20:00|S.MARTINO DI CASTROZZA|2|1|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400580003|1473|06:50:00|07:10:00|BORGO VALSUGANA|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400600002|1575|07:55:00|08:15:00|BORGO VALSUGANA|2|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400600002|1575|07:55:00|08:15:00|Telve|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400600002|1575|07:55:00|08:15:00|Telve di Sopra|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400700003|1450|13:29:00|13:49:00|BORGO VALSUGANA|8|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|B400720001|1571|14:28:00|14:48:00|BORGO VALSUGANA|2|4|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|B400680005|1546|12:45:00|13:10:00|BORGO VALSUGANA|27|1|0|1|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|B400740002|1067|17:22:00|17:47:00|BORGO VALS.(Ospedale)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|B400740002|1067|17:22:00|17:47:00|BORGO VALSUGANA|2|3|0|1|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|B400740002|1067|17:22:00|17:47:00|Telve|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Borgo Vals. (Case Itea)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Campestrini|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Telve|8|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Telve di Sopra|8|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Telve (Panorama)|4|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|Telve (Salti)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Campestrini - Borgo V.|B400590002|1473|06:20:00|06:45:00|TORCEGNO|5|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Telve-Borgo Valsugana|B400610201|1792|07:20:00|07:35:00|Telve|3|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Telve-Borgo Valsugana|B400610201|1792|07:20:00|07:35:00|Telve di Sopra|4|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Telve-Borgo Valsugana|B400610201|1792|07:20:00|07:35:00|Telve (Panorama)|4|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Telve-Borgo Valsugana|B400610201|1792|07:20:00|07:35:00|Telve SP 110 Bv Via Borgo|3|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Vals.|B400570103|1716|06:00:00|06:25:00|Telve|2|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400610002|1473|07:15:00|07:40:00|Campestrini|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400610002|1473|07:15:00|07:40:00|TORCEGNO|8|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400630002|1575|08:20:00|08:45:00|Telve|0|0|0|1|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400710004|1546|13:15:00|13:35:00|Telve|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400730002|1571|14:53:00|15:13:00|Telve|1|2|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400750003|1067|17:52:00|18:12:00|Telve|2|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400750003|1067|17:52:00|18:12:00|Telve di Sopra|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|B400750003|1067|17:52:00|18:12:00|Telve (Panorama)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500370001|1705|13:15:00|14:19:00|ARTEN|1|1|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500370001|1705|13:15:00|14:19:00|FELTRE (Ospedale)|10|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500370001|1705|13:15:00|14:19:00|Feltre Pasquer|19|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500370001|1705|13:15:00|14:19:00|FELTRE (Staz. FS)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500770301|1663|08:15:00|09:06:00|ARTEN|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50079|1694|10:25:00|11:16:00|ARTEN|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50079|1694|10:25:00|11:16:00|FELTRE|0|2|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500850002|1694|17:21:00|18:13:00|ARTEN|3|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500850002|1705|17:00:00|17:16:00|FELTRE|0|4|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B500850002|1705|17:00:00|17:16:00|FELTRE (Staz. FS)|1|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|Agnedo|5|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|Belvedere di Grigno|3|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|BORGO VALS.(Ospedale)|3|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|Grigno|5|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|Ospedaletto|5|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|Palu' di Grigno|2|0|0|0|0|0|0
07-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|B401630004|1992|06:30:00|07:15:00|TEZZE DI GRIGNO|5|0|0|0|0|0|0
