DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500500107|1993|16:59:00|17:53:00|BORGO VALSUGANA|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500500107|1993|16:59:00|17:53:00|S.Lucia (Feltre)|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500520405|1685|18:20:00|19:11:00|BORGO VALSUGANA|1|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento -Feltre|E500680106|1663|11:20:00|12:12:00|BORGO VALSUGANA|2|0|0|0|2|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E101150002|1586|15:10:00|15:30:00|Bampi bivio|0|0|0|1|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E101150002|1586|15:10:00|15:30:00|Cogatti|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E101170002|3611|16:40:00|17:00:00|BOSCO di CIVEZZANO|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E101230002|3611|18:35:00|18:55:00|BOSCO di CIVEZZANO|2|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E102150102|1586|06:35:00|07:04:00|BOSCO di CIVEZZANO|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E102150102|1586|06:35:00|07:04:00|Cogatti|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E102150102|1586|06:35:00|07:04:00|Mazzanigo|2|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E102150102|1586|06:35:00|07:04:00|S.AGNESE/PENEDALLO|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103270002|3618|11:15:00|11:35:00|BOSCO di CIVEZZANO|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103270101||11:15:00|11:54:00|Civezzano (Quadrivio)|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103270101||11:15:00|11:54:00|CIVEZZANO/Mochena/Sille|0|1|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Bampi bivio|1|0|0|0|0|0|0
10-08-2017|Bosco - S.Agnese - Civezzano                                                                        |Bosco - Civezzano|E103830002|1586|07:55:00|08:25:00|Barbaniga|0|1|0|0|0|0|0
