Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
30;30002300;SP 23;Mori - Marco;0,618;1,55;Mori Stazione (bivio S.S. 240 Km 2,850);bivio per Casello A22;C
31;30002400;SP 24;di Dambel;0;11,152;S.S. 43 dir. km 4,900;S.S. 43 dir. km 13,600 Sarnonico;C
32;30002500;SP 25;di Garniga;0;20,43;centro abitto di Aldeno;località Viotte intersezione S.P. 85;C
33;30002600;SP 26;di Amblar e Don;0;2,102;S.S. 43 dir. km 12,190;Don;C
34;30002601;SP 26 dir;di Amblar e Don diramazione Amblar;0;0,168;;;C
35;30002700;SP 27;di Daone;0;7,5; Ai Forti, S.S 237 al km 75.320;Strada (Pieve di Bono) S.S 237 al km72.950;C
36;30002701;SP 27 dir;di Daone diramazione Pracul;0;7,465;;;C
37;30002800;SP 28;di Tregiovo;0;8,245;S.S. 42 km 196,440;Tregiovo;C
38;30002801;SP 28 dir;di Tregiovo diramazione Frari;0;2,756;;;C
39;30002900;SP 29;di Masetto;0;5,319;località Cacciatora staccandosi dalla S.S. 12;località Rocchetta (aperta fino al ponte sul fiume Noce a Mezzolombardo);C
40;30003100;SP 31;del Passo Manghen;0;39,444;Castelnuovo (incr. S.P. 109 al km 1,200);Incrocio con S.P. n. 232 a Molina;C
41;30003300;SP 33 dir Ponte Arche;di Villa Banale - Stenico diramazione Ponte Arche;0;1,655;Ponte Arche  ponte sul fiume Sarca; S.S 421 al km 37.150;C
42;30003301;SP 33 ;di Villa Banale - Stenico;0;3,451;Villa Banale;Stenico S.P 34 al km15.140;C
43;30003400;SP 34;del Lisano e Sesena;0;20,274;Villa Rendena; S.S 421;C
44;30003401;SP 34 dir Preore;del Lisano e Sesena diramazione Preore;0;0,528;Preore al km 4.858;S.S.237 al km 88.300;C
45;30003402;SP 34 dir Ragoli;del Lisano e Sesena diramazione Ragoli;0;1,301;Ragoli al km 6.420;S.S 237al km 91.440;C
46;30003403;SP 34 dir Cros Val;del Lisano e Sesena diramazione Cros da Val;0;1,01;Cros da Val al km 17.170; Seo ( Stenico );C
47;30003500;SP 35;di Malosco;0;1,921;S.S. 238 delle Palade al km 0,555;S.S. 42 al km 213,750;C
48;30003600;SP 36;delle Grazie;0;4,382;Riva del Garda (incrocio con S.S. 421 km 62,648);Arco (incrocio con S.S. 45 bis al km 117,866);C
