NOME;TIPO;STRADA;KM;INDIRIZZO;LOCALITA;SERVIZI DISPONIBILI;CODICE ISTAT LOCALITA;LINK PORTALE
Q8;;SS 50  Km 66+700;2,5;LOC. MASI 34;IMER;autoshop/lavaggio/;022097;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 12  Km 389+945;1,0;COSTA DI PRESSANO VIA NAZIONALE 160;LAVIS;autoshop/bar/cambio gomme/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 90  Km 0+900;0,6;PIAZZA TRENTO 33;MEZZOCORONA;autoshop/lavaggio/parcheggio/;022116;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 240  Km 5+300;0,5;VIA MARCONI 5;MORI;officina/;022123;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 240  Km 5+730;0,5;VIA DEL GARDA 55;MORI;autoshop/parcheggio/;022123;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;Benzina super senza piombo/Gasolio tradizionale/;SS 239  Km 40+675;3,0;S.S. 239 KM.  40+675;PELUGO;;022138;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 47  Km 118+100;1,0;VIA AL LAGO 27/A;PERGINE VALSUGANA;autoshop/cambio gomme/lavaggio/;022139;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 240  Km 18+352;1,0;VIALE ROVERETO 74;RIVA DEL GARDA;autoshop/;022153;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 90  Km ;3,0;SP  90 ;ROVERE' DELLA LUNA;autoshop/;022160;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 12  Km 351+980;0,3;LIZZANELLA VIA ABETONE 51;ROVERETO;autoshop/lavaggio/officina/parcheggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 12  Km 355+535;0,5;S. ILARIO VIA BRENNERO 37/D;ROVERETO;autoshop/lavaggio/officina/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 340  Km 51+531;5,0;VIA GARIBALDI 197;STORO;officina/;022183;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 12  Km 381+282;1,5;CAMPOTRENTINO EST;TRENTO;autoshop/bar/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;Benzina super senza piombo/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;SS 12  Km 381+316;2,0;CAMPOTRENTINO OVEST;TRENTO;autoshop/bar/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 12  Km 382+300;0,8;GARDOLO VIA BOLZANO 16;TRENTO;autoshop/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;---;1,5;VIA VALSUGANA 26;TRENTO;autoshop/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;---;0,5;VIA VALSUGANA 39;TRENTO;officina/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 48  Km 52+660;4,0;LOC. SAN GIOVANNI SS 48  KM. 52+660;VIGO DI FASSA  VICH;;;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
NO LOGO;Benzina super senza piombo/Gasolio tradizionale/;SS 45bis  Km 117+600;0,7;VIA S. CATERINA 10;ARCO;autoshop/bar/lavaggio/noleggio/officina/;022006;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
TOTAL;;SS 12  Km 346+755;5,0;FRAZ. MARCO;ROVERETO;;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
TOTAL;;SS 12  Km 331+935;1,0;LOC. VO' SINISTRO;AVIO;;022007;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;S.S. 12,  Km. 337+947;0,5;S.S. 12  KM 337+947;ALA;bar/lavaggio/;022001;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;S.S. 421,  Km. 14+635;18,0;;ANDALO;lavaggio/noleggio/officina/;022005;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;SS 45B  Km 4+120;1,0;Località GIARE;ARCO;bar/parcheggio/;022006;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SP 109  Km 3+125;0,7;VIALE VICENZA 62;BORGO VALSUGANA;lavaggio/;022022;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 48  Km 63+930;6,0;S.S. 48 KM. 63+930;CANAZEI - CIANACEI;autoshop/lavaggio/;022039;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 48  Km 23+400;0,5;S.S. 48 KM. 23+400;CAVALESE;autoshop/;022050;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SP 71  Km ;3,0;VIA FERSINA AVISIO;CIVEZZANO;officina/;022061;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 43  Km 6+707;1,0;VIA TRENTO 168;CLES;autoshop/bar/lavaggio/;022062;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;SS 237  Km 99+779;0,2;FRAZIONE LOMASO - PONTE ARCHE;COMANO TERME;autoshop/lavaggio/parcheggio/;022228;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;SS 42 Km  171+971;0,5;FRAZIONE MESTRIAGO;COMMEZZADURA;lavaggio/;022064;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;Benzina super senza piombo/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;SS A22  Km 0;30,0;AREA PAGANELLA EST;LAVIS;bar/officina/parcheggio/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;Benzina super senza piombo/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;SS A22  Km 128+73;30,0;AREA PAGANELLA OVEST;LAVIS;autoshop/bar/parcheggio/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 47  Km 110+377;4,0;LOC. MAINES N. 7 ( anche Quaere - DIREZIONE BASSANO);LEVICO TERME;autoshop/bar/lavaggio/parcheggio/;022104;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SP 201 Km 0+630;2,0;LOCALITA' MAGRAS;MALE';lavaggio/parcheggio/;022110;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;---;0,5;VIA IV NOVEMBRE 69;MEZZOCORONA;autoshop/lavaggio/;022116;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 43  Km 26+767;0,5;VIA DEGASPERI 50;MEZZOLOMBARDO;autoshop/lavaggio/;022117;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 48  Km 45+713;0,5;STRADA DE LA COMUNITà DE FIEM 38;MOENA - MOENA;autoshop/;022118;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;SS 240  Km 13+539;0,5;FRAZIONE NAGO - VIA RIVANA 20;NAGO-TORBOLE;;022124;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SP 243;3,0;VIALE DANTE 302;PERGINE VALSUGANA;bar/;022139;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 239  Km 17+841;0,5;MADONNA DI CAMPIGLIO VIA DOLOMITI;PINZOLO;lavaggio/;022143;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 239  Km 30+431;0,5;VIA BOLOGNINI 62;PINZOLO;bar-ristorante/;022143;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;SS 48  Km 36+472;0,2;VIA FIAMME GIALLE 46;PREDAZZO;autoshop/lavaggio/;022147;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 48  Km 38+247;2,2;LOC. FUCINE;PREDAZZO;;022147;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 421  Km 63+092;1,0;LOC. ALBOLA;RIVA DEL GARDA;lavaggio/;022153;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 240  Km 19+100;1,0;VIALE CARDUCCI;RIVA DEL GARDA;autoshop/bar/lavaggio/;022153;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;---;0,5;VIA CAVOUR;ROVERETO;autoshop/lavaggio/officina/parcheggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 12  Km 351+800;0,1;Località LIZZANELLA;ROVERETO;autoshop/bar/lavaggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
