@id,@lat,@lon,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng
227655439,46.1000106,11.1117271,Q8,Q8,Dicomi S.R.L.,yes,no,no
227697884,46.0248150,10.9448720,Europam,Independent,Maino Loris di Sommadossi Daniela,,,
227697888,46.2164106,11.0877839,Q8,Q8,Servizi & Gestioni Italia S.R.L.,,,
227777642,45.9409686,11.2677353,Esso,Esso,Md Service S.R.L.,,,
227818626,45.8939210,10.8488490,Api,,Alu' Mike,,,
227832734,46.1498412,11.7351753,Tamoil,Tamoil,La Fornace di Orsingher Elena & C. S.N.C.,,,
227887801,46.1126942,11.1068432,Esso,Esso,Drigo Maria,,,
227887993,46.0490256,11.4753072,IES,Gnp,Gruppo Nord Petroli S.R.L.,yes,yes,
227889066,46.1878019,11.1270123,Agip,Agip Eni,N.E.W. Agip di Nardon Walter & C. S.A.S.,yes,yes,
227889250,46.1552520,11.1033220,Q8,Q8,Calovi Fulvio,,,
227889439,46.1463940,11.0993370,Esso,Esso,Lumi S.R.L.,,,
227893703,46.3473620,11.0796928,Repsol,Repsol,Pancheri Maria Luisa,,,
227893894,46.2154099,11.0888110,Esso,Esso,Dalla Torre Lucia,,,
227893897,46.3293781,11.0642249,Esso,Esso,Mendini D. S.R.L.,,yes,
227895559,46.0036143,11.1263029,Esso,Esso,Aemme S.A.S. di Ficarra Adriano & C.,,,
227899382,46.0759963,11.2071347,Agip,Agip Eni,Banali Renzo e C. S.N.C.,,yes,
227899529,46.0451132,11.2350731,Total,Total Erg,Casagrande di Casagrande Marco e C. S.N.C.,,yes,
227899697,46.0488907,11.2353864,NordPetroli,Gnp,Gruppo Nord Petroli S.R.L.,,,
227900213,46.0444502,11.4232665,Esso,Esso,Esso,,,
227901881,46.0685520,11.2251508,Agip,Agip Eni,Oasi Service S.A.S. di Di Bartolo Rocco & C.,,,
227912463,46.0756790,10.9959580,Esso,Esso,Esso,,,
227912596,46.0469494,10.9515657,Q8,Q8,Servizi & Gestioni Italia Srl,,,
227912815,46.0363610,10.8642130,Total,Total,Total,,,
227915073,45.9968380,11.6661660,Esso,Esso,Esso,,,
227916004,46.0508176,11.4851820,IP,IP,IP,yes,,
227916140,46.0513415,11.4844751,Esso,Esso,Molinari S.A.S. di Molinari Massimo & C.,yes,yes,
227916279,46.0342872,11.3951273,Total,Gnp,Gruppo Nord Petroli S.R.L.,,,
227916405,46.0028164,11.2955451,Agip,Agip Eni,Stazione Agip di Stefani Federico e C. S.N.C.,yes,yes,
227916406,46.0585330,11.2301700,Esso,Esso,De S.A.R. Gestioni di De Salvatore Alessandro & C. S.A.S.,,,
227916408,46.0869717,11.1052290,Q8 Area Ovest,Q8,Sartori S.A.S. di Sartori Andrea & C.,yes,yes,
227916531,46.0872336,11.1059586,Q8 Area Est,Q8,Odorizzi Roberto,yes,yes,
228160901,46.0705021,11.1109445,Q8 Easy,Q8,Servizi & Gestioni Italia S.R.L.,,,
228237142,46.0688890,11.1365292,Q8,Q8,Servizi & Gestioni Italia S.R.L.,,,
228237150,46.0574831,11.1282132,Esso,Esso,Stazione Esso Viale Verona S.N.C. di Oscar Dematte' e Andrea Pedr Otti,yes,,
228242065,46.1567080,11.8154740,Carburanti Dolomiti,Independent,Indipend.,,,
228247325,46.1676907,11.1146466,IP,Api-Ip,Moser Carmela & Agnese S.N.C.,,,
229100020,45.9803082,11.1165452,Agip,Esso,Condini Catia,,yes,
229100024,46.0480736,11.1137880,Esso Trento Ovest,Esso,Stazione di Servizio Esso di Dematte' Oscar e Uber Lorenzo S.N.C.,yes,no,no
229113179,45.9825836,10.9251918,IP,Agip Eni,Beatrici Diego,,,
229113341,46.2850380,11.4365960,Tamoil,Tamoil,Casari Mauro,,yes,
260405101,46.2725849,11.4194858,IP,,Gas Motors di Delmarco Stefano e C. S.N.C.,,,
269349968,46.1503210,11.2224209,Esso,Esso,Casagranda Bruno e C. S.N.C.,,yes,
269349969,46.1879342,11.2590113,IP,Api-Ip,Cielle S.A.S. di Folgheraiter Candido e C.,,,
269955391,46.3171415,11.5970776,,Agip Eni,Camelo Service di Dellasega Riccardo,,,
272274734,45.9343359,10.8976482,Agip,Agip Eni,Mazzoni Paolo,,,
272274750,45.9160258,10.8792678,Constantin,Costantin,Eeffe Engineering Srl Unipersonale,,,
272274753,45.9087696,10.8690271,Nord Petroli,,Gruppo Nord Petroli S.R.L.,,,
272333336,46.4197549,11.6806802,Q8,Q8,Alpichem Service di Blasco Andrea,,,
272337349,46.3686743,11.6517974,Esso,Esso,Bez Ezio,,,
278561988,46.2503653,11.1821647,q8,Q8,Calovi Fulvio,,,
293331223,46.0730690,11.0581875,Q8,Q8,Cainelli S.A.S. di Cainelli Gianluigi e C.,,,
304025064,45.9008235,10.8578340,,Api-Ip,Ip Services S.R.L.,yes,yes,
333690832,46.3696864,11.0337460,Q8,,Punto Grill Services S.R.L.,,,
333690834,46.3583612,10.9194105,Agip,Agip Eni,G.S. Ristoauto Sas di Iori Gianni & C. in Sigla G.S. Ristoauto Sas,,,
333696237,46.3884260,10.8617928,IP,Api-Ip,Cicolini Patrizia,,,
333789950,46.3225666,10.8480121,Repsol,Repsol,Zappini Piera,,,
334821912,46.3376744,10.8954965,Eni,Agip Eni,Valentinelli Lorenzo,yes,yes,
338894270,46.1453200,11.7856361,Q8,Q8,Masi Sas di Micheli Giovanna e C.,,,
338894272,46.1723792,11.8260378,Esso,Esso,Er S.N.C. di Orler Ariano e Cosner A.,,,
363592367,46.2657857,11.0607509,Q8,Q8,Covi Nicola,,yes,
387882001,46.2123616,11.1232287,,Agip Eni,Meneguot Giorgio,,,
388418756,46.2069701,11.1276149,,Q8,Distributore Da Greg di Lamusta Gregorio,,,
392851069,46.2037641,11.1190390,,,Scari S.R.L.,yes,yes,yes
414978809,46.3441852,10.7008574,IP,Api-Ip,Distributore Ip di Paternoster Michele,,,
415121022,46.3387232,10.7065796,,Q8,Gioinvest S.R.L.,,,
415898492,46.2681961,11.0362870,,Tamoil,Callovi Gianfranco & C. S.N.C.,,,
419251327,45.8875522,11.0590295,Q8 Michelini,Firmin,Michelini Gianfranco,,,
427524200,46.0373887,10.8760355,Agip,,,,,
430548247,46.0022596,11.1999440,Total,Total Erg,Zamboni Gianfranco,,,
454560604,46.1623322,10.7657244,,Agip Eni,Bonapace Piera,,,
454562174,46.1542355,10.7662849,,Tamoil,Frizzi Adolfo,,,
480010342,46.0649368,11.2465507,Costantin,Tamoil,Gianni Filippi & C. S.N.C.,,,
491402658,45.8852587,10.8477540,Agip,Agip Eni,Di Palma Petroli S.N.C. di Angelo e Giuseppe di Palma,,,
491402695,45.8808094,10.8551506,Q8,Q8,Servizi & Gestioni Italia S.R.L.,,,
497089314,46.0057698,11.2413397,IP,Api-Ip,Officina Giacomini S.N.C. di Giacomini Benito & C. in Sigla Offi- Cina Giacomini S.N.C.,,,
514889051,45.9064013,10.8662922,IP,Api-Ip,Ip Services S.R.L.,,,
520633602,46.1766307,11.2236794,,,Gottardi Romano e F.lli Snc,,,
600591686,46.3418883,10.9033995,Tamoil,Tamoil,Albakos di Tasholli Shpend,,,
622616378,46.3113749,10.7592051,Cristoforetti,,,yes,,
663184958,46.0879612,11.1841997,,Agip Eni,Fronza Andrea e C. S.N.C.,,,
665462507,45.9965856,11.2591767,Total,Firmin,Max Line Srl,,,
734201586,45.8722223,10.7703774,IP,Api-Ip,Officina Mazzola di Mazzola Giancarlo e Giampaolo S.N.C.,no,,
740162698,46.1819951,11.8315714,,Agip Eni,Brugnolo Luciano,yes,,
755815895,45.8517524,10.5742980,,Q8,Marteletti Mirco,,,
755816457,45.8484910,10.5575640,,Esso,Esso Storo - Self Area - di Demadonna Simone Diego & C. S.N.C.,,,
776352361,45.8899068,10.7287081,IP,Api-Ip,Pellegrini Paolo,,,
776352364,45.8925933,10.6853771,,Gnp,Gruppo Nord Petroli S.R.L.,,,
794192796,46.0689999,11.1363023,Q8,Q8,Dido S.N.C. di Bahtic Edin & Bahtic Mina,,,
866792871,46.3985829,11.6691938,,Tamoil,Stazione di Servizio Soraga di Lastei Mariacristina & C. S.A.S.,,,
867652450,46.0702608,11.1162566,,Agip Eni,Detone Oscar,,,
905067404,45.9282037,11.0932560,IP,Total Erg,Chesini Domenica,yes,,
935736694,46.1907620,11.0413809,,,Scari S.R.L.,,,
943285739,46.3640550,11.0343921,,Q8,,,,
960810540,46.0041565,11.2895201,Esso,Loro,Loro F.lli-S.P.A.,,,
985533541,46.0701885,11.1165231,,,Eni,,,
1056845509,45.9362388,10.6390134,,Agip Eni,Armani Abramo & C. S.N.C.,,,
1097942236,46.3213433,10.8411518,,Agip Eni,Ravelli Silvano,yes,,
1121890270,46.2907639,11.4545815,,Agip Eni,Camelo Service di Dellasega Riccardo,,,
