Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:32Z;227515154;11.1155332;46.0823833999999
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:33Z;227948063;11.064889;46.0887278
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:34Z;227024603;11.1100619999999;46.131214
TRENTO;TRENTO;Trentino-Alto Adige;Api;2014;2014-09-17T12:59:40Z;227909610;11.1139619;46.0771298
TRENTO;TRENTO;Trentino-Alto Adige;Area di Servizio Petrol-Airport;2015;2015-02-12T11:03:03Z;1318116512;11.1230431;46.0384427999999
TRENTO;TRENTO;Trentino-Alto Adige;ENI;2014;2014-09-17T12:41:34Z;221915633;11.0975053;46.0958767999999
TRENTO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:38Z;227895559;11.1262545999999;46.0035929
TRENTO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:40Z;227887801;11.1068792999999;46.1127056999999
TRENTO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-10-03T14:16:08Z;228237150;11.1282131999999;46.0574830999999
TRENTO;TRENTO;Trentino-Alto Adige;Esso Trento Ovest;2014;2014-11-03T07:50:32Z;229100024;11.113788;46.0480736
TRENTO;TRENTO;Trentino-Alto Adige;Q8;2011;2011-07-17T01:53:45Z;293331223;11.0581875;46.0730689999999
TRENTO;TRENTO;Trentino-Alto Adige;Q8;2014;2014-03-04T17:11:09Z;228237142;11.1365292;46.0688889999999
TRENTO;TRENTO;Trentino-Alto Adige;Q8;2014;2014-03-04T17:11:09Z;794192796;11.1363023;46.0689999
TRENTO;TRENTO;Trentino-Alto Adige;Q8;2014;2014-10-24T13:57:27Z;227655439;11.1117271;46.1000105999999
