stopId,stopCode,stopName,stopDesc,stopLat,stopLon,zoneId,wheelchairBoarding,routes,distance,type,locality,street,streetNumber,town,postalCode,province,stopLevel
26,24035z,Cognola S.Vito,,46.075623,11.141786,10110,2,"[{'routeId': 400, 'agencyId': 12, 'routeShortName': '5', 'routeLongName': 'Piazza Dante P.Fiera Povo Oltrecastello', 'routeType': 3, 'routeColor': 'F5C500', 'routeTextColor': '000000', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 484, 'agencyId': 12, 'routeShortName': '16', 'routeLongName': 'Centochiavi Martignano Cognola Povo', 'routeType': 3, 'routeColor': '3564B1', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Cognola,Cognola S.Vito,,Trento,38121,TN,60
23,1210RD,Ziano di Fiemme-Alla Roda,,46.288617,11.569941,1210,0,"[{'routeId': 1, 'agencyId': 12, 'routeShortName': 'B101', 'routeLongName': 'Cavalese-Predazzo-Moena-Canazei-Penia', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Ziano di Fiemme-Alla Roda,,Ziano di Fiemme,38030,TN,40
5632,2621MP,Sopramonte-Maso Petoci,,46.066913,11.059466,2621,0,"[{'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Sopramonte-Maso Petoci,,,,,40
5633,2621NO,Sopramonte-Novai,,46.067659,11.061524,2621,0,"[{'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Sopramonte-Novai,,,,,40
5866,2630NF,Candriai-Sp 85 Km. 9.4,,46.062236,11.079694,2630,0,"[{'routeId': 76, 'agencyId': 12, 'routeShortName': 'B202', 'routeLongName': 'Trento-Sardagna-Candriai-Vaneze-Vason-Viote', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Candriai-Sp 85 Km. 9.4,,Trento,38123,TN,40
5867,2630BF,Candriai-Erica.,,46.063071,11.08226,2630,0,"[{'routeId': 76, 'agencyId': 12, 'routeShortName': 'B202', 'routeLongName': 'Trento-Sardagna-Candriai-Vaneze-Vason-Viote', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Candriai,Candriai-Erica.,,Trento,38123,TN,40
5868,2630CF,Candriai-Sp 85.,,46.063684,11.081701,2630,0,"[{'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Candriai,Candriai-Sp 85.,,Trento,38123,TN,80
5869,2630MF,Candriai Malga Brigolina,,46.06651,11.076299,2630,0,"[{'routeId': 565, 'agencyId': 12, 'routeShortName': 'B236', 'routeLongName': 'Sopramonte-Baselga-Vigolo B.-Terlago-M.Terlago', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Candriai Malga Brigolina,,Trento,38123,TN,40
5194,4496RR,S.Nazario,,45.838412,11.690546,4496,0,"[{'routeId': 520, 'agencyId': 12, 'routeShortName': 'B401', 'routeLongName': 'Trento-Pergine V.-Levico T.-Borgo V.', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Valbrenta,Via Pilla,8,San Nazario,36020,VI,80
6117,2272RR,Coltura,,46.058271,10.793851,2240,0,"[{'routeId': 73, 'agencyId': 12, 'routeShortName': 'B216', 'routeLongName': 'Tione-Bolbeno-Ragoli-Montagne', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,Coltura,Coltura,,Ragoli,38070,TN,60
1837,3850HL,Lavarone-Hotel Du Lac,,45.937154,11.255227,3850,0,"[{'routeId': 186, 'agencyId': 12, 'routeShortName': 'B303', 'routeLongName': 'Trento-V.Vattaro-Centa-Carbonare-Lavarone-Luserna', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}, {'routeId': 196, 'agencyId': 12, 'routeShortName': 'B306', 'routeLongName': 'Rovereto-Calliano-Folgaria-Lavarone', 'routeType': 3, 'routeColor': None, 'routeTextColor': None, 'type': 'E', 'areaId': 0, 'news': None}]",,E,,Lavarone-Hotel Du Lac,,Lavarone,38046,TN,20
