,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
47,227916405,46.0028164,11.2955451,Agip,Agip Eni,Stazione Agip di Stefani Federico e C. S.N.C.,yes,yes,,"Agip, Strada Statale 47 della Valsugana, Levico Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38056, Italia"
48,227916406,46.058533000000004,11.23017,Esso,Esso,De S.A.R. Gestioni di De Salvatore Alessandro & C. S.A.S.,,,,"Esso, Statale Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
49,227916408,46.0869717,11.105229,Q8 Area Ovest,Q8,Sartori S.A.S. di Sartori Andrea & C.,yes,yes,,"Q8 Area Ovest, Via delle Bettine, Piazzina, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
50,227916531,46.0872336,11.1059586,Q8 Area Est,Q8,Odorizzi Roberto,yes,yes,,"Q8 Area Est, Via di Campotrentino, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
51,228160901,46.0705021,11.1109445,Q8 Easy,Q8,Servizi & Gestioni Italia S.R.L.,,,,"Q8 Easy, Via Brescia, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
52,228237142,46.068889,11.136529199999998,Q8,Q8,Servizi & Gestioni Italia S.R.L.,,,,"Q8, 38, Via Venezia, Cernidor, San Vito, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
53,228237150,46.0574831,11.1282132,Esso,Esso,Stazione Esso Viale Verona S.N.C. di Oscar Dematte' e Andrea Pedr Otti,yes,,,"Esso, Viale Verona, Cernidor, Bolghera, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
54,228242065,46.156708,11.815474,Carburanti Dolomiti,Independent,Indipend.,,,,"Pompe Bianche, Via Roma, Sorive, Mezzano, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
55,228247325,46.1676907,11.1146466,IP,Api-Ip,Moser Carmela & Agnese S.N.C.,,,,"IP, Via Nazionale, Maso Rover, Maso Nero, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
56,229100020,45.9803082,11.1165452,Agip,Esso,Condini Catia,,yes,,"Agip, Località Acquaviva, Acquaviva, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
