"stop_id","name","latitude","longitude","wheelchairBoarding","address"
584,"Madrano",46.085924,11.214313,0,"Madrano"
585,"Madrano-Via Della Vizza",46.091338,11.21218,0,"Madrano-Via Della Vizza"
586,"Nogare'",46.103925,11.211299,0,"Nogare'"
587,"S.Mauro-Bivio",46.116607,11.222363,0,"S.Mauro-Bivio"
589,"Baselga-Municipio",46.130017,11.243841,0,"Baselga-Municipio"
591,"Sternigo Bivio",46.141638,11.257922,0,"Sternigo Bivio"
592,"Rizzolaga",46.146547,11.264079,0,"Rizzolaga"
593,"Campolongo",46.149594,11.269501,0,"Campolongo"
596,"Castellani-Regnana Bivio",46.159769,11.298666,0,"Castellani-Regnana Bivio"
599,"Bedollo Bivio",46.170023,11.312441,0,"Bedollo Bivio"
600,"Bedollo Villaggio",46.172909,11.317053,0,"Bedollo Villaggio"
601,"Brusago-Via Verdi",46.175772,11.321442,0,"Brusago-Via Verdi"
602,"Brusago",46.182123,11.32586,0,"Brusago"
604,"Brusago-Maso Gabart",46.194274,11.327788,0,"Brusago-Maso Gabart"
605,"Sette Fontane Bivio",46.199008,11.327741,0,"Sette Fontane Bivio"
606,"Sveseri",46.206441,11.323666,0,"Sveseri"
608,"Piazze di Bedollo",46.155858,11.287334,0,"Piazze di Bedollo"
687,"Mala",46.09056,11.281513,0,"Mala"
609,"Campolongo",46.149606,11.269113,0,"Campolongo"
615,"Civezzano-Quadrivio",46.090068,11.185168,0,"Civezzano-Quadrivio"
616,"Civezzano",46.091869,11.183174,0,"Civezzano"
617,"Cirè-Superstrada",46.077733,11.204086,0,"Cirè-Superstrada"
710,"Fango",46.368794,11.728398,0,"Fango"
1196,"Mis",46.207137,11.927153,0,"Mis Di Sagron"
533,"Trento-Via V.Veneto",46.057701,11.119291,0,"Via Vittorio Veneto/ S. Giuseppe"
619,"Cogatti",46.093809,11.197015,0,"Cogatti"
620,"Seregnano",46.094472,11.200444,0,"Seregnano"
621,"Roverè",46.090452,11.193247,0,"Roverè"
623,"Barbaniga",46.101736,11.18634,0,"Barbaniga"
624,"S.Agnese",46.106351,11.183642,0,"S.Agnese"
897,"Lon",46.084137,10.992654,0,"Lon"
626,"Mazzanigo",46.103635,11.189195,0,"Mazzanigo - Dir. Penedallo"
628,"Penedallo",46.101014,11.192553,0,"Penedallo"
632,"Torchio-S.P. 71",46.091408,11.198343,0,"Torchio-S.P. 71"
633,"Valle Fornace",46.111868,11.210363,0,"Valle Fornace"
634,"Fornace Bivio",46.119112,11.216117,0,"Fornace Bivio"
636,"Fornace",46.118058,11.208113,0,"Fornace"
638,"S.Stefano",46.128531,11.21204,0,"S.Stefano"
639,"Fornace-Maso Donati",46.120439,11.216456,0,"Fornace-Maso Donati"
640,"Lases",46.143536,11.218874,0,"Lases"
642,"Albiano",46.144616,11.193779,0,"Albiano"
643,"Albiano-Via S.Antonio Civ.54",46.146254,11.190465,0,"Albiano-Via S.Antonio Civ.54"
644,"Albiano-Via S.Antonio Civ 90",46.148464,11.187406,0,"Albiano-Via S.Antonio Civ 90"
646,"Lases-Civ. 30",46.144611,11.219172,0,"Lases-Civ. 30"
648,"Lona-Via Provinciale",46.156073,11.230504,0,"Lona-Via Provinciale"
649,"Lona",46.16039,11.234805,0,"Lona"
650,"Lona-Loc. Piazzole",46.162898,11.240964,0,"Lona-Loc. Piazzole"
652,"Piazzo di Segonzano Bivio",46.180041,11.257966,0,"Piazzo di Segonzano Bivio"
653,"Scancio di Segonzano",46.187468,11.258374,0,"Scancio di Segonzano"
655,"Scancio di Segonzano Mad.Aiuto",46.196166,11.258614,0,"Scancio di Segonzano Mad.Aiuto"
656,"Gaggio/Gresta Bivio",46.207792,11.286819,0,"Gaggio/Gresta Bivio"
657,"Valcava Bivio",46.217867,11.305176,0,"Valcava Bivio"
658,"Sover-Bar Vittoria",46.221404,11.314764,0,"Sover-Bar Vittoria"
661,"Piscine",46.239914,11.32472,0,"Piscine"
662,"Piscine-Loc. Grava",46.246752,11.332537,0,"Piscine-Loc. Grava"
664,"Pradel",46.260328,11.35542,0,"Pradel"
665,"Loc. Ronco",46.260433,11.384836,0,"Loc. Ronco"
669,"Pradel",46.262398,11.35542,0,"Pradel"
671,"Lases-Distributore Esso",46.150438,11.222695,0,"Lases-Distributore Esso"
672,"Lases-Pesa",46.143739,11.218683,0,"Lases-Pesa"
673,"Pergine V.",46.061248,11.237033,0,"Pergine V."
676,"Pergine-Distr. Tamoil",46.06517,11.24743,0,"Pergine-Distr. Tamoil"
679,"Canezza-Maso Sleifer",46.076276,11.269737,0,"Canezza-Maso Sleifer"
682,"Canezza",46.076974,11.274491,0,"Canezza"
683,"Canezza-Dif. Al Sole",46.080149,11.275946,0,"Via per Mala"
685,"Viarago-Bivio",46.086386,11.277786,0,"Viarago-Bivio"
686,"Mala-Loc.Agnoletti",46.088686,11.279793,0,"Mala-Loc.Agnoletti"
613,"Trento-Via Perini",46.060824,11.124153,0,"Via Fratelli Perini"
689,"Stefani",46.09859,11.294205,0,"Stefani"
690,"S.Orsola-Loc.Bertoldi",46.102573,11.298243,0,"S.Orsola-Loc.Bertoldi"
691,"S.Orsola",46.107693,11.30188,0,"S.Orsola"
