@id,@lat,@lon,name
5768585471,46.3068802,11.5954925,Diemmecar
5850064728,46.0666628,11.4846285,Officina Rattin
6240249371,46.4211577,11.6755602,Pneuservice C. Cigolla
6250175485,46.0132381,11.1288259,Officina Dematté
6250175490,46.0127558,11.1280010,Carrozzeria Luca Fellin
6278639596,46.4096885,11.6772446,Bosch Car Service
6579942807,46.1440522,11.0946264,Officina Automax
6609266753,46.0141907,11.6239115,Dalla Palma squadra corse
6657331380,46.1092998,11.1066635,Zancanella
6793102180,45.8936845,11.0328705,
6793102181,45.8936788,11.0326237,
6895928279,45.8973565,11.0319137,Carrozzeria Gottardi
6895928280,45.8975410,11.0314791,Autofficina Motor Garage

