@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
453629299,46.2222791,10.8582694,,,,,,,,,,,,,,,,
453629398,46.2201585,10.8668302,,,,,,,,,,,,,,,,
453629441,46.2209663,10.8708150,,,,,,,,,,,,,,,,
453629455,46.2215947,10.8725021,,,,,,,,,,,,,,,,
453629469,46.2225581,10.8743562,,,,,,,,,,,,,,,,
453629523,46.2226829,10.8801748,,,,,,,,,,,,,,,,
453629817,46.2154337,10.9025749,Passo del Grostè,,,2442,,,,,,,,,,,,
455539166,46.1359225,10.9527080,Croz dei Pegolotti,,,,,,,,,,,,,,,
455539168,46.1378194,10.9577760,,,,,,,,,,,,,,,,
455539171,46.1339490,10.9482776,,,,,,,,,,,,,,,,
455539250,46.1359136,10.9412294,,,,,,,,,,,,,,,,
455563470,46.1414166,10.9023804,,,,,,,,,,,,,,,,
455563471,46.1437086,10.9081986,,,,,,,,,,,,,,,,
455563612,46.1427661,10.8737111,,,,,,,,,,,,,,,,
455563613,46.1420560,10.8700324,,,,,,,,,,,,,,,,
455582381,46.1428909,10.9013614,,,,,,,,,,,,,,,,
455582728,46.1538277,10.8928727,,,,,,,,,,,,,,,,
455582800,46.1543497,10.8984018,,,,,,,,,,,,,,,,
455582801,46.1542860,10.8986617,,,,,,,,,,,,,,,,
455646935,46.1751773,10.8763140,Rifugio ai Brentei,,Bocca di Brenta 1:20|Rif. Tosa e T. Pedrotti 1:40|Molveno 5:00|Bocca dei Camosci 3:00|Rif. XII Apostoli 4:00|Sent. alp. D.Martinazzi,,,yes,,,,yes,,,,,,
455646938,46.1758103,10.8765204,Rifugio ai Brentei,,Baita Brenta Alta 1:10|Malga Brenta Bassa 2:30|San Antonio di Mavignola 3:30|Rifugio Casinei 1:40,,,yes,,,,yes,,,https://www.flickr.com/photos/125134384@N03/28507008594/in/album-72157672751304505/,,,
455646942,46.1759201,10.8767334,Rifugio ai Brentei,,,2182,,yes,,,,yes,,,,,,
