@id,@lat,@lon
314725173,45.9011468,10.8447659
314729210,45.8959923,10.8474700
315348430,45.9021947,10.8465664
322618037,46.2615788,11.8006003
322712730,46.4076940,10.8065198
322713730,46.3530544,10.9114937
322912224,46.3583001,10.9232835
331236777,45.7595702,11.1718256
331236779,45.7598836,11.1722397
333783339,46.3147242,10.8124015
333783340,46.3144009,10.8114763
333785004,46.3023218,10.8116503
333791380,46.2320806,10.8267360
333791879,46.2259703,10.8277507
334743918,46.3023308,10.8103807
334743942,46.3016854,10.8100907
335595263,46.3531472,10.9140893
335596693,46.3507996,10.9104975
335604417,46.3826369,10.9723889
337320702,46.0855611,11.2149941
338894338,46.1994980,11.8678771
339504496,46.1169694,10.7503927
340803106,45.8942586,10.8463518
344894423,45.9139938,10.8416025
345825899,46.3952835,11.1455252
360314328,46.0106028,11.2868859
365500220,46.0407011,11.1547436
369442791,45.8811862,11.0700112
369443036,45.8842683,11.0729994
377015146,45.9041372,11.0524069
387881691,46.2117505,11.1280772
388393323,46.2170435,11.1079429
388393380,46.2171622,11.1156484
388934086,46.3001415,11.4483496
392387072,46.0428813,11.1800111
401886895,45.8525324,11.1266651
403198383,45.8911945,11.1505516
412369948,46.1679044,10.7139394
412506321,46.1969326,11.1312706
412775283,46.1827592,11.1378997
412784233,46.1808118,11.1656331
412785322,46.1868985,11.1611898
414949927,46.3096491,10.7614072
414988150,46.3509655,10.6943395
414997611,46.3520496,10.6913806
415121031,46.3110451,10.7312029
415504562,46.3196677,10.8268137
417675339,46.0602218,11.2387989
417704027,46.1316279,11.2472740
417707396,46.0341344,11.2209538
417707397,46.0346599,11.2207628
417879336,46.1205246,10.7533262
417969044,46.0319614,11.2266181
419157622,45.9711854,11.2234435
419740927,46.0043589,11.6125499
424453247,46.0431537,11.0379627
427575145,45.7585266,11.1707524
427637374,45.9130913,11.1881640
427963801,46.0449176,11.1284640
428314033,46.0492362,11.1295803
428660119,46.1530660,10.7358747
428665325,46.1027049,10.7395921
428665326,46.1027901,10.7389657
428736789,46.1669305,10.6663561
429614748,46.1612108,10.7382018
439235639,46.0120530,11.2967343
440273456,45.8925260,10.8498673
440681738,46.0877144,10.9101562
454560218,46.1665583,10.6606292
454560219,46.1668129,10.6620264
456730578,46.0889357,10.8863487
457521148,45.7946869,11.0964080
474951311,45.9288010,11.2845830
475207720,46.0010145,11.0855518
475857603,46.1411730,10.7395877
478706674,46.1355814,11.3233208
480003050,46.0596202,11.2401594
481315621,45.9240138,10.8861214
484294484,45.8495978,10.5796352
484525192,45.8615530,10.6416741
497206465,45.8492989,10.5784307
498752161,46.0843200,11.3166519
509303527,46.0367436,10.8729899
511214914,45.8700148,10.7721199
511245520,45.8563255,10.8299411
512227418,46.1549459,11.8072416
520632745,46.1742042,11.2210888
525228148,46.1753000,11.2203223
540427464,45.9260597,10.7176279
550449174,45.8427960,10.5842328
552903930,46.1656869,11.2341186
558635952,46.0120288,11.2976771
565160458,46.2958913,11.7758616
565160638,46.3021361,11.7577977
