Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
S.I.T.C.;C019m;Kristiania - Col dei Rossi ;4;05/12/2014;12/04/2015;09:00;16:30;Il 1/2/2015 gli orari chiusura verranno prorogati di 30  minuti
I.T.A.P.;C020a;Latemar - Passo Pampeago;3,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Pinzolo;C021h;Pr‡ Rodont -Doss del Sabion;4;28/11/2014;26/04/2015;08:00;18:00;
Soc. Fun. Pinzolo;C021h;Pr‡ Rodont -Doss del Sabion;4;30/05/2015;20/09/2015;08:30;18:00;
Soc. Fun. Folgarida Marilleva;C022g;ContrË - Malga Copai;6,3;29/11/2014;12/04/2015;08:15;16:40;
Soc. Impianti Falcade Col Margherita;C023m;Passo S.Pellegrino - Gigante;4,4;29/11/2014;06/04/2015;09:00;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
I.T.A.P.;C024a;Pampeago - Monte Agnello;4,1;29/11/2014;12/04/2015;08:30;16:30;
Soc. Latemar 2200;C025a;Predazzo - GardonË;6,5;29/11/2014;12/04/2015;08:30;16:45;
Soc. Latemar 2200;C026a;GardonË - Passo Feudo;4,5;29/11/2015;12/04/2015;08:30;16:45;
Soc. Valle Bianca;C027e;Prati di Gaggia - Mughi della Paganella;3,8;22/11/2014;31/01/2015;08:30;16:00;
Soc. Valle Bianca;C027e;Prati di Gaggia - Mughi della Paganella;3,8;01/02/2015;06/04/2015;08:30;16:30;
Soc. Valle Bianca;C027e;Prati di Gaggia - Mughi della Paganella;3,8;20/12/2014;05/01/2015;;;per gli allenamenti entrer‡ in funzione alle ore 7,00
Soc. Fun. Ciampac e Contrin;C028m;Ciampac - Sella Brunec;4,3;05/12/2014;31/01/2015;08:30;16:30;
Soc. Fun. Ciampac e Contrin;C028m;Ciampac - Sella Brunec;4,3;01/02/2015;06/04/2015;08:30;17:30;
Soc. Fun. Madonna di Campiglio;C029h;Madonna di Campiglio - Monte Spinale;6,2;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Madonna di Campiglio;C029h;Madonna di Campiglio - Monte Spinale;6,2;01/06/2015;30/09/2015;08:30;17:30;
S.I.T.C.;C031m;Canazei - Pecol;6;05/12/2014;31/01/2014;08:30;17:00;
S.I.T.C.;C031m;Canazei - Pecol;6;01/02/2015;12/04/2015;08:30;17:30;
Soc. Impianti Funiviari Lusia;C032m;Campo - Le Cune;4,3;29/11/2014;12/04/2015;08:30;16:30;
Soc. Impianti Funiviari Lusia;C033m;Campo - Laste;5,3;29/11/2014;12/04/2015;08:30;16:30
Soc. Fun. Buffaure;C034m;Pozza - Buffaure;7,5;05/12/2014;06/04/2015;08:30;17:00
Soc. Carosello Tonale;C035g;Tonale - Valbiolo;4,4;25/10/2014;30/04/2015;08:30;16:45
Soc. Fun. Madonna di Campiglio;C036h;Calchera di Boch - Rifugio Graffer;5;16/11/2014;30/04/2015;08:30;17:30
I.T.A.P.;C037a;Residenza - Passo Feudo;3,5;29/11/2014;12/04/2015;08:30;16:30
Soc. Fun. Alpe Cermis;C038a;Campigol del Pel - Paion del Cermis;4;05/12/2014;12/04/2015;08:30;16:30
Soc. Fun. Peio;C039g;Pejo Fonti - Tarlenta;6;06/12/2014;12/04/2015;08:30;16:30
S.I.T.C.;C040m;Pradel - Salei;7,5;05/12/2014;31/01/2015;08:15;16:30
S.I.T.C.;C040m;Pradel - Salei;7,5;01/02/2015;12/04/2015;08:15;17:00
Soc. Fun. Madonna di Campiglio;C041h;Madonna di Campiglio - Pradalago;6,2;16/11/2014;30/04/2015;08:30;17:30
Soc. Fun. Madonna di Campiglio;C041h;Madonna di Campiglio - Pradalago;6,2;01/06/2015;30/09/2015;08:30;17:30
Soc. Fun. Seggiovie S.Martino;C042b;Frattazza - Tognola;7,5;01/12/2014;12/04/2015;08:00;17:00
Soc. Paganella 2001;C043e;Santel - Meriz;4;22/11/2014;30/01/2015;08:30;16:00
Soc. Paganella 2001;C043e;Santel - Meriz;4;31/01/2015;06/04/2015;08:30;16:30
S.I.T. Bellamonte;C044a;Castelir - Le Fassane;3,9;29/11/2014;31/01/2015;08:30;16:00
S.I.T. Bellamonte;C044a;Castelir - Le Fassane;3,9;01/02/2015;28/02/2015;08:30;16:15
S.I.T. Bellamonte;C044a;Castelir - Le Fassane;3,9;01/03/2015;12/04/2015;08:30;16:30;
Soc. Fun. Madonna di Campiglio;C045h;Patascoss - Pancugolo;4,7;16/11/2014;30/04/2015;08:30;17:30;
Soc. Carosello Tonale;C046g;Valbiolo - Passo dei Contrabbandieri;3,8;25/10/2014;30/04/2015;08:30;16:30;
Imprese e Territorio Soc. Cons. s.r.l.;C047b;San Martino - Col Verde;5;05/12/2014;06/04/2015;08:30;16:40;
Imprese e Territorio Soc. Cons. s.r.l.;C047b;San Martino - Col Verde;5;05/12/2014;06/04/2015;19:30;23:30;soli giorni di giovedi e sabato
Soc. S.IN.VAL.;C048g;Passo Tonale - Alpe Alta;4;16/11/2014;30/04/2015;08:30;16:45;
Soc. Fun. Madonna di Campiglio;C049h;Fortini - Pradalago;5,1;16/11/2014;30/04/2015;08:30;17:30;
S.I.T.C.;C050m;Pian Frataces - Gherdecia;6,5;05/12/2014;31/01/2015;08:45;16:30;
