Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
Soc. Catinaccio Impianti a Fune;M170m;Vajolet 1;3,5;25/01/2015;29/03/2015;08:30;17:00;
Soc. Catinaccio Impianti a Fune;M171m;Vajolet 2;4;20/12/2014;24/01/2015;08:30;16:15;
Soc. Catinaccio Impianti a Fune;M171m;Vajolet 2;4;25/01/2015;29/03/2015;08:30;16:30;
Soc. Fun. Seggiovie S.Martino;M174b;M.ga Tognola - C.ma Tognola;4;01/12/2014;12/04/2015;08:00;17:00;
Soc. Fun. Folgarida Marilleva;M177g;Val Mastellina - Bassetta del Vigo;3,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Buffaure;M178m;Alloch - Pian delle Checene;4,5;05/12/2014;29/03/2015;08:30;17:00;
Soc. Fun. Buffaure;M178m;Alloch - Pian delle Checene;4,5;26/12/2014;26/12/2014;19:30;22:00;
Soc. Fun. Buffaure;M178m;Alloch - Pian delle Checene;4,5;30/12/2014;30/12/2014;19:30;22:00;
Soc. Fun. Buffaure;M178m;Alloch - Pian delle Checene;4,5;31/12/2014;29/03/2015;19:30;22:00;i soli giorni di mercoledç e venerdç
Soc. Fun. Rella;M180l;Fondo Piccolo - Cargaore;3,3;29/11/2014;08/04/2015;08:30;17:00;
Soc. Fun. Folgarida Marilleva;M183g;M.ga Panciana - Ometto;2,9;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Seggiovie S.Martino;M186b;Scandola - Tognola;3,5;01/12/2014;12/04/2015;08:00;17:00;
Soc. Fun. Peio;M188g;Mezoli - Taviela;2,8;06/12/2014;12/04/2015;08:30;16:30;
Soc. Seggiovie Fondo Piccolo;M189l;Fondo Piccolo - Trugalait;3;01/12/2014;07/04/2015;08:30;17:00
Soc. Castellazzo;M191b;Passo Rolle - Castellazzo;3;20/12/2014;19/04/2015;09:00;15:30
S.I.T.R.;M192b;Buca Ferrari - Cima Tognazza;3,3;22/11/2014;31/12/2015;09:00;16:30
S.I.T.R.;M192b;Buca Ferrari - Cima Tognazza;3,3;01/02/2015;19/04/2015;09:00;17:00
Soc. Fun. Folgarida Marilleva;M194g;Bassetta del Vigo - Monte Spolverino;2,8;29/11/2014;12/04/2015;08:30;16:30
Soc. Fun. Seggiovie S.Martino;M195b;Malga Tognola - Tognazza;4;01/12/2014;12/04/2015;08:00;17:00
S.I.T.C.;M197m;Salei - Rodella;4;05/12/2014;31/01/2015;08:45;16:45
S.I.T.C.;M197m;Salei - Rodella;4;01/02/2015;12/04/2015;08:45;17:15
Soc. Turismo Lavarone;M198d;Soneck - Tablat;2,5;29/11/2014;19/04/2015;08:30;17:00
Soc. Turismo Lavarone;M201d;Bertoldi - Tablat;4;29/11/2014;19/04/2015;08:30;17:00
S.I.T.R.;M203b;Cimon -Scuola;2,2;22/11/2014;31/01/2015;09:00;16:30
S.I.T.R.;M203b;Cimon -Scuola;2,2;01/02/2015;19/04/2015;09:00;17:00
Soc. Trento Funivie;M204e;Vason - Palon;5;29/11/2014;07/04/2015;08:45;16:45
S.I.T.C.;M205m;Rodella - Des Alpes;3;05/12/2014;31/01/2015;08:45;16:45
S.I.T.C.;M205m;Rodella - Des Alpes;3;01/02/2015;12/04/2015;08:45;17:15
Soc. Fun. Folgarida Marilleva;M206g;Malga Copai - Dosso Marilleva;5,2;29/11/2014;12/04/2015;08:30;16:30
Soc. Catinaccio Impianti a Fune;M207m;Campo Scuola - CiampediË;2,5;05/12/2014;24/01/2015;08:30;16:30;
Soc. Catinaccio Impianti a Fune;M207m;Campo Scuola - CiampediË;2,5;25/01/2015;06/04/2015;08:30;16:45;
Brentonico Ski societ‡ consortile a r.l.;M208l;Bucaneve - Postemon;4;29/11/2014;22/03/2015;09:00;16:30;
Soc. Fun. Lagorai;M209c;Malga Marande - Monte Agaro;2;29/11/2014;06/04/2015;08:00;17:00;
Soc. Fun. Lagorai;M209c;Malga Marande - Monte Agaro;2;29/11/2014;06/04/2015;18:00;22:30;
Soc. Impianti Maso;M210l;Malga Ortesino - Sommo Alto;3,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Fun. Col Margherita;M211m;Funivia - Al Passo;2;29/11/2014;06/04/2015;09:00;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
Soc. Carosello Ski Folgaria;M213l;Fondo Grande - Dosso Martinella;4;29/11/2014;06/04/2015;08:30;17:00;
Soc. Carosello Ski Folgaria;M214l;Fondo Grande - Cima Sommo Alto;4;29/11/2014;19/04/2015;08:30;17:00;
Soc. Latemar 2200;M215a;Campo Scuola - GardonË;1,5;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Buffaure;M216m;Buffaure - Col de Valvacin;4,5;05/12/2014;06/04/2015;08:30;17:00;
Imprese e Territorio Soc. Cons. s.r.l.;M217b;Malga Ces - Valbonetta;3,5;29/11/2014;06/04/2015;08:00;16:45;
Soc. Paganella 2001;M218e;Rindole - Doss de Lava;2;22/11/2014;30/01/2015;08:30;16:00;
Soc. Paganella 2001;M218e;Rindole - Doss de Lava;2;31/01/2015;06/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;M219g;Ottava - Monti Alti;2,4;29/11/2014;12/04/2015;17:30;23:00;
Soc. Fun. Rella;M220l;Fondo Piccolo - Cengio Rosso;2,9;29/11/2014;08/04/2015;08:30;17:00;
Soc. Catinaccio Impianti a Fune;M222m;Passo San Pellegrino - Campigol;3;05/12/2014;24/01/2015;08:30;16:15;
Soc. Catinaccio Impianti a Fune;M222m;Passo San Pellegrino - Campigol;3;25/01/2015;06/04/2015;08:30;16:45;
Soc. Fun. Buffaure;M223m;Pala - del Geigher;3,5;05/12/2014;06/04/2015;08:30;17:00;
Soc. Fun. Buffaure;M224m;Buffaure - Buffaure di sotto;3,3;05/12/2014;06/04/2015;08:30;17:00;
Soc. Turismo Lavarone;M226d;Malga Laghetto - Monte Ust - Sonek;4,5;29/11/2014;19/04/2015;08:30;17:00;
S.I.T.C.;M227m;Gherdeccia - Belvedere;3;05/12/2014;31/01/2015;08:45;16:30;
S.I.T.C.;M227m;Gherdeccia - Belvedere;3;01/02/2015;12/04/2015;08:45;17:00;
S.I.T.C.;M228m;Ciavazes - Grohman;3;05/12/2014;31/01/2015;08:45;16:40;
S.I.T.C.;M228m;Ciavazes - Grohman;3;01/02/2015;12/04/2015;08:45;17:10;
Soc. Seggiovie Fondo Piccolo;M229l;Fondo Piccolo - Cima Spill;3,2;01/12/2014;07/04/2015;08:30;17:00;
Soc. Valle Bianca;M230e;Prati di Gaggia - Teresat;2;22/11/2014;31/01/2015;08:30;16:00;
Soc. Valle Bianca;M230e;Prati di Gaggia - Teresat;2;01/02/2015;30/03/2015;08:30;16:30;
Soc. Valle Bianca;M230e;Prati di Gaggia - Teresat;2;01/04/2015;06/04/2015;08:30;16:00;
Soc. Nuova Panarotta;M231d;Rigolor - Cima Panarotta;4,8;06/12/2014;06/04/2015;08:30;16:30;dal 7/1/2015 nei giorni feriali apertura ore 9.00
Soc. Valle Bianca;M232e;Le Salare - Conca d'Argento;3,4;22/11/2014;06/04/2015;08:30;16:00;
Soc. Valle Bianca;M232e;Le Salare - Conca d'Argento;3,4;01/02/2015;30/03/2015;08:30;16:30;
Soc. Valle Bianca;M232e;Le Salare - Conca d'Argento;3,4;01/04/2014;06/04/2015;08:30;16:00
Soc. Fun. Molveno Pradel;M235e;Pradel - Croz dell'Altissimo;3;24/12/2014;06/01/2015;08:45;16:45
Soc. Fun. Peio;M236g;Busa Stavelin - Doss del Blanco;2,6;06/12/2014;12/04/2015;08:30;16:30
Soc. Fun. Pinzolo;M237h;Grual - Monte Grual;2,3;28/11/2014;26/04/2015;08:30;17:00
Soc. Turismo Lavarone;M239d;Malga Laghetto - Monte Cucco - Passo Vezzena;6;29/11/2014;19/04/2015;08:30;17:00
Soc. Fun. Lagorai;M241c;LaresË - Monte Agaro;2;29/11/2014;06/04/2015;08:00;17:00
Soc. Paganella 2001;M242e;Selletta - Cima Paganella;3;22/11/2014;30/01/2015;08:30;16:00
Soc. Paganella 2001;M242e;Selletta - Cima Paganella;3;31/01/2015;06/04/2015;08:30;16:30
Soc. Fun. Peio;M245g;Busa Stavelin - Doss dei Cembri;4,5;06/12/2014;12/04/2015;08:30;16:30
Soc. Fun. Lagorai;M246c;Valfontane - Monte Agaro;2;29/11/2014;06/04/2015;08:00;17:00
A. T. F. Malcesine - Monte Baldo;M247l;Pr‡ Alpesina - Monte Baldo;;;;;
Soc. Fun. Pinzolo;M248h;Malga Cioca - Malga Grual;3,5;28/11/2014;26/04/2015;08:30;17:00
Brentonico Ski societ‡ consortile a r.l.;M249l;Polsa - Postemon;4;29/11/2014;22/03/2015;09:00;16:30
Soc. Fun. Madonna di Campiglio;M253h;Plan - Pancugolo;3,1;16/11/2014;30/04/2015;08:30;17:30
Soc. Turismo Lavarone;S024d;Malga Rivetta;2,5;29/11/2014;19/04/2015;08:30;17:00
Brentonico Ski societ‡ consortile a r.l.;S029l;S.Valentino;2,5;29/11/2014;22/03/2015;09:00;16:30
Soc. Fun. Madonna di Campiglio;S054h;Dei Larici;1,7;16/11/2014;30/04/2015;08:30;17:00;
Soc. Carosello Tonale;S071gDx;P.so Presena Dx;2,7;25/10/2014;30/04/2015;08:30;16:00;
Soc. Carosello Tonale;S071gSx;P.so Presena Sx;2,7;25/10/2014;30/04/2015;08:30;16:00;
Soc. Turismo Lavarone;S072d;Campo Scuola - Rivetta 2¯;1,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Fun. Folgarida Marilleva;S075g Dx;Campo Scuola Dx;1,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;S075g Sx;Campo Scuola Sx;1,7;29/11/2014;12/04/2015;08:30;16:30;
Associazione Pro Loco Bolbeno;S076h;Coste di Bolbeno;3,5;01/12/2014;23/12/2014;13:00;16:30;solo i giorni di lunedç, martedç, mercoledç, giovedç e  venerdç
Associazione Pro Loco Bolbeno;S076h;Coste di Bolbeno;3,5;01/12/2014;23/12/2014;09:00;16:30;solo i giorni di sabato e domenica
Associazione Pro Loco Bolbeno;S076h;Coste di Bolbeno;3,5;24/12/2014;06/01/2015;09:00;16:30;
Associazione Pro Loco Bolbeno;S076h;Coste di Bolbeno;3,5;07/01/2015;15/03/2015;13:00;16:30;solo i giorni di lunedç, martedç, mercoledç, giovedç e  venerdç
Associazione Pro Loco Bolbeno;S076h;Coste di Bolbeno;3,5;07/01/2015;15/03/2015;09:00;16:30;solo i giorni di sabato e domenica
Soc. Impianti Falcade Col Margherita;S094m;Chiesetta 2;2,4;29/11/2014;06/04/2015;09:30;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
Soc. Fun. Folgarida Marilleva;S095g;Biancaneve;1,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;S095g;Biancaneve;1,7;29/11/2014;12/04/2015;17:30;23:00;
Soc. Impianti Passo Cereda;S117b;Passo Cereda;;;;;;
Soc. Fun. Seggiovie S.Martino;S129b;Cigolera;2,7;01/12/2014;12/04/2015;08:00;17:00;
Soc. Sciovia Pr‡ delle Nasse;S150bDx;Pr‡ delle Nasse Dx;1,2;05/12/2014;06/04/2015;09:00;17:00;
Soc. Sciovia Pr‡ delle Nasse;S150bSx;Pr‡ delle Nasse Sx;1,2;05/12/2014;06/04/2015;09:00;17:00;
Soc. Catinaccio Impianti a Fune;S164m;Capanna Margherita;2,5;05/12/2014;24/01/2015;08:30;16:15;
Soc. Catinaccio Impianti a Fune;S164m;Capanna Margherita;2,5;25/01/2015;06/04/2015;08:30;16:45;
Soc. Avisio S.a.s.;S173m;Avisio;;;;;;
Soc. Impianti Falcade Col Margherita;S181m;Chiesetta 1;2,4;29/11/2014;06/04/2015;09:30;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
Soc. Fun. Buffaure;S186m;Pera;2,8;05/12/2014;25/03/2015;08:30;17:00;
Soc. Col de Lin;S198m;Col de Lin;2,5;21/12/2014;26/12/2014;09:00;13:00;
Soc. Col de Lin;S198m;Col de Lin;2,5;21/12/2014;26/12/2014;14:00;16:30;
Soc. Col de Lin;S198m;Col de Lin;2,5;27/12/2014;04/01/2015;09:00;16:30;
Soc. Col de Lin;S198m;Col de Lin;2,5;05/01/2015;01/02/2015;09:00;13:00;
Soc. Col de Lin;S198m;Col de Lin;2,5;05/01/2015;01/02/2015;14:00;16:30;
Soc. Col de Lin;S198m;Col de Lin;2,5;02/02/2015;22/03/2015;09:00;13:00;
Soc. Col de Lin;S198m;Col de Lin;2,5;02/02/2015;22/03/2015;14:00;17:00;
Soc. Fun. Folgarida Marilleva;S208g;Doss della Pesa;1,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. Essedi;S226a;Nuova M.ga Varena;2;21/12/2014;12/04/2015;09:00;16:30;
I.T.A.P.;S228a;P.so Pampeago - Pala di Santa Sx;2,8;29/11/2014;12/04/2015;09:00;16:00;
Soc. Fun. Seggiovie S.Martino;S230b;Baby Tognola;1,5;01/12/2014;12/04/2015;08:00;17:00;
Soc. Fun. Buffaure;S234m;Baby Buffaure;2,5;05/12/2014;06/04/2014;08:30;17:00;
Soc. Fun. Ciampac e Contrin;S236m;Delle Baite;2;05/12/2014;31/01/2015;08:30;16:30;
Soc. Fun. Ciampac e Contrin;S236m;Delle Baite;2;01/02/2015;06/04/2015;08:30;17:00;
Soc. Fun. Ciampac e Contrin;S237m;Sasso di Rocca;2,4;20/12/2014;31/01/2015;08:45;16:30;
Soc. Fun. Ciampac e Contrin;S237m;Sasso di Rocca;2,4;01/02/2015;06/04/2015;08:45;17:00;
Brentonico Ski societ‡ consortile a r.l.;S281l;Momo;2;29/11/2014;22/03/2015;09:00;16:30;
Roberto Boso;S288c;Malga Coazzo;1,7;20/12/2014;11/01/2015;09:00;16:30;
Roberto Boso;S288c;Malga Coazzo;1,7;17/01/2014;15/03/2015;09:00;16:30;
Soc. Carosello Ski Folgaria;S300l;Passo Coe - Cima Plaut;2;29/11/2014;19/04/2015;08:30;17:00;
Andreatta Raffaele;S304d;Pradisci;1,2;21/12/2014;08/03/2015;09:00;16:00;
Andreatta Raffaele;S304d;Pradisci;1,2;21/12/2014;08/03/2015;18:00;20:00;
S.I.T.C.;S310m;Gonzaga;2;05/12/2014;12/04/2015;08:45;16:30;Il 1/2/2015 gli orari chiusura verranno prorogati di 30  minuti
Soc. Fun. Folgarida Marilleva;S312g;Casina - Monti Alti;1,7;29/11/2014;12/04/2015;08:30;16:30;
Soc. IESSETI;S315g;Biancaneve - Campi alle Pozze;2;06/12/2014;31/03/2015;08:30;16:30;
Soc. IESSETI;S315g;Biancaneve - Campi alle Pozze;2;06/12/2014;31/03/2015;20:30;22:30;
Soc. Castellazzo;S316b;Rolle;2;20/12/2012;19/04/2015;09:00;15:30;
PRI.ME;S317m;Friedrich August - Gabia;1,5;06/12/2014;31/01/2015;08:30;16:30;
PRI.ME;S317m;Friedrich August - Gabia;1,5;01/02/2015;11/04/2015;08:30;17:00;
Soc. Fun. Alpe Cermis;S320a;Campo Scuola - Cermis;1,3;05/12/2014;12/04/2015;08:30;16:30;
Soc. Impianti Funiviari Lusia ;S321m;Nuovo Campo Scuola - Valbona;1,5;29/11/2014;12/04/2015;08:30;16:30;
Soc. Carosello Ski Folgaria;S323l;Campo Scuola - Fondo Grande;1,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;20/12/2014;24/12/2014;09:30;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;26/12/2014;06/01/2015;09:30;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;07/01/2015;13/02/2015;10:00;16:30;solo i giorni di lunedç, martedç, mercoledç, giovedç e  venerdç
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;07/01/2015;15/03/2015;09:30;16:30;solo i giorni di sabato e domenica, esclusi i giorni 18/01/2015, 25/01/2015, 08/02/2015 e 22/02/2015
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;16/02/2015;20/02/2015;09:30;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;23/02/2015;27/02/2015;10:00;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;18/01/2015;18/01/2015;08:00;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;25/01/2015;25/01/2015;08:00;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;08/02/2015;08/02/2015;08:00;16:30;
Soc. Altipiani Val di Non;S327f;Ciasazza;2,3;22/02/2015;22/02/2015;08:00;16:30
Soc. Latemar Carezza;S332m;Campo Scuola - Latemar 3¯;1,5;29/11/2014;13/02/2015;08:30;16:40
Soc. Latemar Carezza;S332m;Campo Scuola - Latemar 3¯;1,5;14/02/2015;06/04/2015;08:30;16:55
Soc. Slittinovia Costa;V001l;Costa;1,5;01/12/2014;31/03/2015;08:30;12:30
Soc. Slittinovia Costa;V001l;Costa;1,5;01/12/2014;31/03/2015;14:00;17:00
Soc. Fun. Rella;V003l;Fondo Piccolo 6¯;1,4;29/11/2014;08/04/2015;08:30;17:00
Soc. Cisk;V004d;Bertoldi;1,5;08/12/2014;07/04/2015;09:30;17:00
